participant_id	session_id	eeg_made_task-VEP_acq-eeg_preprocessingReport_task	eeg_made_task-VEP_acq-eeg_preprocessingReport_line_noise	eeg_made_task-VEP_acq-eeg_preprocessingReport_reference_for_faster	eeg_made_task-VEP_acq-eeg_preprocessingReport_faster_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_ica_prep_bad_channels	eeg_made_task-VEP_acq-eeg_preprocessingReport_length_ica_data	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_ICs	eeg_made_task-VEP_acq-eeg_preprocessingReport_ICs_removed	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_pre_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_epochs_post_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpInv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Inv	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_Obj	eeg_made_task-VEP_acq-eeg_preprocessingReport_FACE_UpObj	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Standard	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_PreDev	eeg_made_task-VEP_acq-eeg_preprocessingReport_MMN_Dev	eeg_made_task-VEP_acq-eeg_preprocessingReport_total_channels_interp	eeg_made_task-VEP_acq-eeg_preprocessingReport_avg_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_std_chan_interp_artifact_rej	eeg_made_task-VEP_acq-eeg_preprocessingReport_range_chan_interp_artifact_rej
213769	V03	VEP	0.9597563	Cz	"E95 E96 E123"	0	1541	101	"4   9  11  12  15  23  25  26  27  31  38  41  43  47  51  56  58  65  77"	120	102	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	0.0196078431372549	0.198029508595335	2
523233	V03	VEP	0.7329758	Cz	"E9 E14 E15 E21 E116"	0	1205	99	"2   5   9  15  22  32  64  81  97"	120	98	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	0.173469387755102	0.703826217481314	6
892487	V03	VEP	0.9912571	Cz	"E8 E9 E15 E21 E25"	0	1341	99	"1   4   6  11  18  20  36  37  42  49"	120	118	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	1.00847457627119	1.78069305009717	8
197396	V03	VEP	0.9748942	Cz	"E21 E33 E108"	0	1213	101	"5  18  21  23  27  29  34  36  42  55  58  72  84  87  92  93"	120	85	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	3	2.22003860970286	10
882923	V03	VEP	0.0415605	Cz	"E1 E32"	0	1262	102	"1   3   4   5   6  12  19  20  24  27  29  34  36  39  42  46  52  53  59  60  61  64  66  76  83"	120	94	n/a	n/a	n/a	n/a	n/a	n/a	n/a	2	0.872340425531915	1.62794178750639	8
685003	V03	VEP	0.9756556	Cz	"E23 E34 E40 E46 E47 E53 E55 E76"	0	1246	96	"10  17  18  20  22  24  25  29  35  37  43  46  48  49  51  55  60  62  65  68  79  83  85  90"	120	105	n/a	n/a	n/a	n/a	n/a	n/a	n/a	8	0.361904761904762	1.34538963132368	9
628690	V03	VEP	0.8033532	Cz	"E2 E3 E25 E31 E57 E117 E124"	0	1290	97	"1   2   8   9  10  11  12  13  15  19  38  41  42  46  50  58  64  65"	120	115	n/a	n/a	n/a	n/a	n/a	n/a	n/a	7	0.182608695652174	0.600914634677286	4
893334	V03	VEP	0.9701831	Cz	"E72 E77 E84 E85"	0	1267	100	"5   8   9  14  20  21  23  26  27  29  30  31  32  35  36  38  43  48  50  93"	120	109	n/a	n/a	n/a	n/a	n/a	n/a	n/a	4	0.440366972477064	1.25041617265013	8
134449	V03	VEP	0.9916455	Cz	"E58 E71 E72"	0	900	101	"3   4  15  23  26  28  32  40  42  48  54  71"	120	37	n/a	n/a	n/a	n/a	n/a	n/a	n/a	3	3.81081081081081	2.47024332852092	9
210317	V03	VEP	0.9733219	Cz	"E2 E3 E8 E26 E72"	0	1302	99	"5  11  12  16  20  22  29  48  57"	120	110	n/a	n/a	n/a	n/a	n/a	n/a	n/a	5	1.84545454545455	2.06848951509591	9
